model,task,task family,success,token consumption
openai:gpt-5.2-pro-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,0
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,7959
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-12419,sympy/sympy,false,0
openai:gpt-5.2-2025-12-11,sympy__sympy-12419,sympy/sympy,false,14500
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-12481,sympy/sympy,false,36010
openai:gpt-5.2-2025-12-11,sympy__sympy-12481,sympy/sympy,false,33052
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-13031,sympy/sympy,true,25901
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-18199,sympy/sympy,false,55973
anthropic:claude-opus-4-5-20251101,sympy__sympy-18199,sympy/sympy,false,63414
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-18698,sympy/sympy,false,110143
anthropic:claude-opus-4-5-20251101,sympy__sympy-18698,sympy/sympy,true,128693
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-21612,sympy/sympy,true,32700
openai:gpt-5.2-pro-2025-12-11,django__django-11179,django/django,false,14779
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,false,10167
openai:gpt-5.2-pro-2025-12-11,django__django-11815,django/django,true,14619
openai:gpt-5.2-pro-2025-12-11,django__django-11999,django/django,false,29169
anthropic:claude-opus-4-5-20251101,django__django-11999,django/django,true,30764
openai:gpt-5.2-pro-2025-12-11,django__django-12125,django/django,true,14561
openai:gpt-5.2-pro-2025-12-11,django__django-12708,django/django,true,52152
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,0
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,119763
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,0
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,false,40767
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,false,0
openai:gpt-5.2-pro-2025-12-11,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,false,0
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,42559
openai:gpt-5.2-pro-2025-12-11,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,71196
openai:gpt-5.2-pro-2025-12-11,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,10081
openai:gpt-5-mini-2025-08-07,sympy__sympy-13480,sympy/sympy,true,26442
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-13647,sympy/sympy,true,41406
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-15345,sympy/sympy,true,10262
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-16792,sympy/sympy,false,43387
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,true,39755
google:models/gemini-3-pro-preview,astropy__astropy-14182,astropy/astropy,false,56935
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14182,astropy/astropy,false,52059
google:models/gemini-3-pro-preview,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,167609
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,107204
google:models/gemini-3-pro-preview,psf__requests-2317,psf/requests,false,23951
google:models/gemini-3-pro-preview,astropy__astropy-12907,astropy/astropy,false,119759
openai:gpt-5-mini-2025-08-07,astropy__astropy-12907,astropy/astropy,false,101878
openai:gpt-5.2-2025-12-11,django__django-10914,django/django,true,21189
google:models/gemini-3-pro-preview,django__django-11848,django/django,true,16792
google:models/gemini-3-pro-preview,django__django-11964,django/django,true,8898
google:models/gemini-3-pro-preview,django__django-12308,django/django,true,17915
google:models/gemini-3-pro-preview,django__django-14155,django/django,false,0
anthropic:claude-opus-4-5-20251101,django__django-14155,django/django,false,29571
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,228806
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,0
google:models/gemini-3-pro-preview,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,145239
google:models/gemini-3-pro-preview,psf__requests-2317,psf/requests,false,24108
openai:gpt-5-mini-2025-08-07,psf__requests-2317,psf/requests,false,20279
openai:gpt-5.2-2025-12-11,pydata__xarray-4094,pydata/xarray,false,110537
openai:gpt-5.2-pro-2025-12-11,pydata__xarray-4094,pydata/xarray,false,0
google:models/gemini-3-pro-preview,pylint-dev__pylint-7080,pylint-dev/pylint,false,0
openai:gpt-5.2-2025-12-11,pylint-dev__pylint-7080,pylint-dev/pylint,false,0
google:models/gemini-3-pro-preview,pytest-dev__pytest-7490,pytest-dev/pytest,false,0
anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7490,pytest-dev/pytest,true,23671
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,false,84908
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,72913
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,0
openai:gpt-5-mini-2025-08-07,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,33608
google:models/gemini-3-pro-preview,sympy__sympy-17630,sympy/sympy,false,29839
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-17630,sympy/sympy,false,29389
google:models/gemini-3-pro-preview,sympy__sympy-21379,sympy/sympy,false,46269
openai:gpt-5.2-2025-12-11,sympy__sympy-21379,sympy/sympy,true,40280
google:models/gemini-3-pro-preview,astropy__astropy-14365,astropy/astropy,false,54097
openai:gpt-5-mini-2025-08-07,astropy__astropy-14365,astropy/astropy,false,46064
google:models/gemini-3-pro-preview,astropy__astropy-14995,astropy/astropy,true,40461
anthropic:claude-opus-4-5-20251101,django__django-11099,django/django,true,6494
google:models/gemini-3-pro-preview,django__django-11133,django/django,false,23055
openai:gpt-5.2-2025-12-11,django__django-11133,django/django,true,14912
google:models/gemini-3-pro-preview,django__django-14534,django/django,false,0
openai:gpt-5-mini-2025-08-07,django__django-14534,django/django,false,50320
google:models/gemini-3-pro-preview,django__django-15252,django/django,false,0
openai:gpt-5.2-pro-2025-12-11,django__django-15252,django/django,false,33436
google:models/gemini-3-pro-preview,django__django-15695,django/django,false,0
openai:gpt-5.2-pro-2025-12-11,django__django-15695,django/django,false,62572
google:models/gemini-3-pro-preview,matplotlib__matplotlib-24149,matplotlib/matplotlib,false,345017
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24149,matplotlib/matplotlib,false,0
google:models/gemini-3-pro-preview,pytest-dev__pytest-7432,pytest-dev/pytest,true,19007
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,8420
google:models/gemini-3-pro-preview,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,0
google:models/gemini-3-pro-preview,sympy__sympy-12419,sympy/sympy,false,18260
openai:gpt-5.2-2025-12-11,sympy__sympy-12419,sympy/sympy,false,0
google:models/gemini-3-pro-preview,sympy__sympy-12481,sympy/sympy,true,39001
google:models/gemini-3-pro-preview,sympy__sympy-13031,sympy/sympy,true,29361
google:models/gemini-3-pro-preview,sympy__sympy-18199,sympy/sympy,false,61907
openai:gpt-5.2-2025-12-11,sympy__sympy-18199,sympy/sympy,false,53524
google:models/gemini-3-pro-preview,sympy__sympy-18698,sympy/sympy,false,123233
openai:gpt-5.2-2025-12-11,sympy__sympy-18698,sympy/sympy,false,105356
google:models/gemini-3-pro-preview,sympy__sympy-21612,sympy/sympy,true,36551
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,false,10569
google:models/gemini-3-pro-preview,django__django-11179,django/django,true,13772
google:models/gemini-3-pro-preview,django__django-11815,django/django,true,16997
google:models/gemini-3-pro-preview,django__django-11999,django/django,false,30868
openai:gpt-5.2-2025-12-11,django__django-11999,django/django,true,24897
openai:gpt-5-mini-2025-08-07,django__django-12125,django/django,false,15037
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,false,13513
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,false,49530
openai:gpt-5-mini-2025-08-07,django__django-12708,django/django,false,51862
google:models/gemini-3-pro-preview,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,210215
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,0
google:models/gemini-3-pro-preview,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,0
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,0
google:models/gemini-3-pro-preview,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,184761
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,122286
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,false,47763
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,false,0
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,50106
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,false,81725
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,69342
google:models/gemini-3-pro-preview,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,false,0
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,8770
google:models/gemini-3-pro-preview,sympy__sympy-13480,sympy/sympy,true,30165
google:models/gemini-3-pro-preview,sympy__sympy-13647,sympy/sympy,true,44524
google:models/gemini-3-pro-preview,sympy__sympy-15345,sympy/sympy,false,8989
openai:gpt-5.2-2025-12-11,sympy__sympy-15345,sympy/sympy,true,8053
google:models/gemini-3-pro-preview,sympy__sympy-16792,sympy/sympy,false,0
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,false,41033
openai:gpt-5.2-2025-12-11,astropy__astropy-12907,astropy/astropy,true,2265858
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,5047392
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,true,7724687
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,6575097
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,2767969
openai:gpt-5.2-2025-12-11,astropy__astropy-14995,astropy/astropy,true,4808481
openai:gpt-5.2-2025-12-11,django__django-10914,django/django,true,2978223
openai:gpt-5.2-2025-12-11,django__django-11099,django/django,true,2734551
openai:gpt-5.2-2025-12-11,django__django-11133,django/django,true,3033646
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,true,2969687
openai:gpt-5.2-2025-12-11,django__django-11815,django/django,true,6183190
openai:gpt-5.2-2025-12-11,django__django-11848,django/django,true,3379674
openai:gpt-5.2-2025-12-11,django__django-11964,django/django,true,7019226
openai:gpt-5.2-2025-12-11,django__django-11999,django/django,true,11067310
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,true,7349774
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,6308371
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,3535112
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,true,7317092
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,6969637
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,3995367
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,6900158
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,4303692
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,true,10856038
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,5612125
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,9117901
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,6271220
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,11718062
